price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 548.000,386m²,260m²,5,3,,4,1,30,",  Coghlan, Capital Federal"
USD 620.000,890m²,260m²,5,3,,3,1,A estrenar,",  Santa Bárbara, Tigre"
,,,,,,,,,
USD 815.000,796m²,290m²,,3,,3,,,",  Las Glorietas, Nordelta"
USD 2.660.000,2111m²,750m²,6,7,,5,1,A estrenar,",  Los Castores, Nordelta"
USD 570.000,193m²,270m²,6,4,,4,,A estrenar,",  Coghlan, Capital Federal"
,,,,,,,,,
USD 590.000,750m²,320m²,6,3,,0,1,10,",  La Rotonda, San Isidro"
,,,,,,,,,
USD 1.290.000,360m²,260m²,5,5,1,3,1,80,",  Belgrano, Capital Federal"
,,,,,,,,,
USD 750.000,249m²,315m²,7,3,,3,1,50,",  Belgrano, Capital Federal"
USD 427.000,916m²,244m²,5,3,,3,1,A estrenar,",  San Francisco, Villanueva"
USD 420.000,750m²,260m²,5,4,1,4,1,11,",  Santa Catalina, Villanueva"
USD 670.000,350m²,350m²,,4,,3,,10,",  Ayres del Pilar, Pilar"
USD 1.300.000,853m²,525m²,7,3,,4,1,10,",  Ayres del Pilar, Pilar"
,,,,,,,,,
,,,,,,,,,
USD 375.000,496m²,196m²,4,3,,3,1,A estrenar,",  Las Tipas, Nordelta"
USD 1.360.000,1250m²,400m²,7,7,,4,1,10,",  El Golf, Nordelta"
USD 589.000,696m²,221m²,5,4,,3,1,A estrenar,",  Los Lagos, Nordelta"
,,,,,,,,,
USD 680.000,1018m²,245m²,4,3,,3,1,10,",  Los Castores, Nordelta"
USD 620.000,704m²,224m²,5,3,,4,1,7,",  Los Sauces, Nordelta"
USD 345.000,804m²,210m²,0,3,,3,1,2,",  San Rafael, Villanueva"
,,,,,,,,,
USD 2.100.000,1078m²,515m²,8,7,,5,,2017,",  Albanueva, Rincón de Milberg"
USD 380.000,273m²,165m²,3,,,2,,50,",  Martínez, San Isidro"
USD 890.000,991m²,338m²,6,5,,4,1,2,",  Barbarita, General Pacheco"
USD 1.600.000,1210m²,502m²,,7,,4,,5,",  El Golf, Nordelta"
USD 290.000,135m²,135m²,6,2,1,3,1,20,",  Olivos, Vicente López"
USD 1.090.000,,317m²,,3,,3,,,",  Belgrano, Capital Federal"
USD 690.000,464m²,283m²,7,3,1,3,,40,",  Belgrano, Capital Federal"
,,,,,,,,,
,,,,,,,,,
USD 495.000,188m²,130m²,4,4,1,3,1,7,",  Chacarita, Capital Federal"
USD 690.000,202m²,250m²,7,4,,4,1,100,",  Colegiales, Capital Federal"
,,,,,,,,,
USD 365.000,600m²,175m²,4,2,,3,,3,",  Ayres Plaza, Pilar"
USD 1.498.000,,430m²,6,3,1,4,,45,",  Belgrano, Capital Federal"
USD 790.000,1073m²,400m²,6,4,1,5,,20,",  Beccar, San Isidro"
