price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 1,384m²,384m²,,3,,4,,,",  Palermo Chico, Palermo"
USD 178.000,200m²,147m²,4,3,1,3,,A estrenar,",  Córdoba, Córdoba"
USD 620.000,924m²,272m²,,4,,3,,,",  Ayres del Pilar, Pilar"
USD 275.000,765m²,236m²,4,3,,3,,10,",  El Recodo, Escobar"
USD 650.000,235m²,235m²,5,3,,3,,A estrenar,",  Olivos, Vicente López"
USD 420.000,225m²,225m²,,3,,3,,,",  Uruguay, Otros Paises"
USD 380.000,262m²,230m²,,5,,4,,,",  Haras del Pilar, Pilar"
USD 250.000,220m²,170m²,6,2,,3,1,15,",  San Carlos de Bariloche, San Carlos de Bariloche"
USD 320.000,914m²,212m²,5,3,,4,,A estrenar,",  Norte, El Cantón"
USD 135.000,116m²,106m²,4,2,,3,,53,",  Centro, Rosario"
USD 165.000,160m²,98m²,,2,,2,,2017,",  Puerto Roldán, Roldán"
USD 520.000,871m²,266m²,9,4,,4,1,10,",  Ayres del Pilar, Pilar"
USD 149.000,450m²,130m²,5,2,,3,,A estrenar,",  San Eduardo, Pilar del Este"
USD 199.000,,150m²,0,3,,3,,A estrenar,",  Pilar, Pilar"
USD 185.000,200m²,95m²,3,2,,0,,3,",  Castelar, Morón"
USD 298.000,219m²,183m²,,4,,4,,18,",  Pilar del Este, Pilar"
USD 310.000,958m²,326m²,6,5,,5,1,1,",  Haras Santa María, Escobar"
USD 195.000,225m²,225m²,5,2,,4,,A estrenar,",  Ramos Mejía, La Matanza"
USD 288.000,845m²,205m²,0,2,,3,1,A estrenar,",  Islas, El Cantón"
USD 145.000,192m²,150m²,4,2,1,3,,50,",  Lanús, GBA Sur"
USD 1.100.000,600m²,500m²,,6,,5,,20,",  La Lucila, Vicente López"
USD 600.000,732m²,350m²,5,0,,4,,En construcción,",  Acassuso, San Isidro"
USD 180.000,1000m²,230m²,4,2,,3,,15,",  Club de Campo Larena - Los Quinchos, Pilar"
USD 2.050.000,600m²,600m²,5,6,,4,1,30,",  Belgrano, Capital Federal"
USD 515.000,233m²,270m²,4,2,,3,,,",  Martínez, San Isidro"
USD 275.000,177m²,118m²,4,,,3,1,25,",  Villa Pueyrredón, Capital Federal"
USD 140.000,140m²,140m²,3,2,1,2,,A estrenar,",  San Ramon, Pilar del Este"
USD 189.000,930m²,140m²,3,2,1,2,,10,",  Villa Rosa, Pilar"
USD 1.800.000,1363m²,654m²,7,3,1,3,1,25,",  Boating, San Isidro"
USD 120.000,122m²,106m²,,,,2,,,",  Centro, Rosario"
USD 485.000,450m²,450m²,6,6,,5,1,30,",  Chauvín, Mar del Plata"
USD 150.000,925m²,180m²,5,3,1,4,,20,",  Del Viso, Pilar"
USD 340.000,239m²,144m²,5,2,,4,1,A estrenar,",  Caballito, Capital Federal"
USD 460.000,231m²,185m²,5,3,1,4,1,30,",  Florida, Vicente López"
USD 230.000,309m²,309m²,,4,,4,,,",  La Peregrina, Pilar"
USD 279.000,284m²,284m²,6,2,1,4,,38,",  Ramos Mejía, La Matanza"
USD 72.000,360m²,86m²,4,,1,2,,2,",  Puerto Roldán, Roldán"
USD 318.000,141m²,94m²,,2,,2,,40,",  Colegiales, Capital Federal"
USD 730.000,,395m²,7,3,,4,1,9,",  Ayres del Pilar, Pilar"
USD 830.000,240m²,210m²,,4,,4,,2,",  Los Castores, Nordelta"
USD 130.000,135m²,90m²,4,,1,3,1,A estrenar,",  Villa Udaondo, Ituzaingó"
USD 130.000,90m²,90m²,3,,1,2,1,A estrenar,",  General San Martín, GBA Norte"
USD 530.000,380m²,330m²,,6,1,4,,,",  Estancia Villa María, Ezeiza"
USD 1.500.000,800m²,500m²,7,3,1,4,1,25,",  San Isidro Chico, San Isidro"
Consultar precio,490m²,390m²,,4,1,4,,11,",  Palermo Chico, Palermo"
USD 850.000,735m²,395m²,9,3,1,4,1,38,",  Acassuso, San Isidro"
USD 170.000,95m²,79m²,,2,,2,,,",  Pilar, Pilar"
USD 1.200.000,590m²,590m²,,,1,4,,4,",  San Jorge Village, Malvinas Argentinas"
USD 145.000,140m²,140m²,,2,1,2,,7,",  Ibarlucea, Santa Fe"
USD 150.000,400m²,80m²,0,,,2,,A estrenar,",  El Portal de Pilar, Pilar"
USD 450.000,200m²,200m²,4,4,1,3,,,",  Ciudad Jardín Lomas del Palomar, Tres de Febrero"
USD 250.000,200m²,110m²,4,2,1,3,,,
USD 210.000,202m²,134m²,5,2,1,4,,50,",  Flores, Capital Federal"
USD 790.000,500m²,500m²,0,5,,6,,5,",  Estancias del Pilar, Pilar"
USD 198.000,126m²,97m²,4,,,3,,60,",  Florida, Vicente López"
USD 120.000,138m²,119m²,5,3,1,3,1,A estrenar,",  San Alfonso, Pilar del Este"
USD 1.280.000,1105m²,565m²,8,4,,3,1,50,",  Olivos, Vicente López"
USD 1.350.000,906m²,906m²,8,7,,6,,30,",  Villa Devoto, Capital Federal"
USD 235.000,180m²,120m²,4,2,1,3,,1,",  Villa Martelli, Vicente López"
USD 149.000,540m²,126m²,,3,,3,,,",  San Ramiro, Pilar del Este"
USD 680.000,500m²,358m²,10,4,,4,1,45,",  Vicente López, Vicente López"
USD 235.000,180m²,170m²,5,2,,3,,14,",  Las Araucarias, Pilar"
USD 290.000,260m²,220m²,,4,,4,,,",  El Cantón, Escobar"
USD 685.000,280m²,230m²,,3,,3,,,",  Ayres del Pilar, Pilar"
USD 69.000,,86m²,3,,,2,,43,",  General Pueyrredón, Córdoba"
USD 230.000,241m²,220m²,,4,,4,,,",  Campo Chico, Pilar"
USD 105.000,110m²,78m²,,,1,2,,1,",  Roldán, Santa Fe"
USD 720.000,705m²,254m²,6,3,,3,1,En construcción,",  Castaños, Nordelta"
USD 385.000,780m²,315m²,5,5,,4,1,A estrenar,",  La Comarca, Tigre"
USD 390.000,192m²,,5,3,1,4,1,20,",  Belgrano, Capital Federal"
USD 595.000,,350m²,0,3,,4,,A estrenar,",  La Pradera, Pilar"
USD 198.000,400m²,171m²,4,2,,3,1,A estrenar,",  Los Robles, La Cañada de Pilar"
USD 750.000,1267m²,565m²,8,5,,5,,50,",  Lomas de San Isidro, San Isidro"
USD 990.000,455m²,455m²,,6,,4,,,",  Santa Bárbara, Tigre"
USD 230.000,159m²,135m²,5,4,1,4,,12,",  Los Troncos, Mar del Plata"
Consultar precio,493m²,461m²,,4,,4,,50,",  Palermo Chico, Palermo"
USD 190.000,150m²,122m²,0,2,,3,,A estrenar,",  Manzanares Chico, Pilar"
USD 160.000,238m²,94m²,4,2,1,3,,50,",  Lomas del Mirador, La Matanza"
USD 190.000,,,2,0,,2,,A estrenar,",  Valle Escondido , Córdoba"
USD 250.000,194m²,133m²,,3,,3,,8,",  Funes, Santa Fe"
USD 295.000,514m²,300m²,,,,3,,,",  Ciudad de Mendoza, Mendoza "
USD 250.000,1600m²,350m²,6,3,,2,,50,",  Funes, Santa Fe"
USD 570.000,350m²,335m²,6,3,1,5,1,66,",  Acassuso, San Isidro"
USD 550.000,311m²,275m²,4,2,,3,1,70,",  La Lucila, Vicente López"
USD 260.000,1000m²,180m²,5,0,,3,,A estrenar,",  Cañuelas, GBA Sur"
USD 240.000,800m²,167m²,4,2,,2,,8,",  La Cesarina, General Rodríguez"
USD 298.000,825m²,187m²,,4,,3,,,",  Puerto, El Cantón"
USD 249.000,835m²,200m²,4,3,,3,,7,",  Los Eucaliptus (Pilar), Pilar"
USD 200.000,200m²,200m²,,2,,3,,,",  El Venado I, Esteban Echeverría"
USD 840.000,520m²,520m²,10,4,,5,1,18,",  Martínez, San Isidro"
USD 310.000,645m²,160m²,6,3,,3,1,12,",  Santa Catalina, Villanueva"
USD 850.000,472m²,350m²,5,5,,3,,5,",  Vicente López, Vicente López"
USD 430.000,440m²,127m²,4,2,,3,,35,",  Martínez, San Isidro"
USD 1.650.000,2085m²,619m²,,5,,4,,,",  El Talar de Pacheco, Tigre"
USD 93.000,1000m²,2m²,0,,,2,,A estrenar,",  Punilla, Córdoba"
USD 350.000,1000m²,200m²,4,4,1,4,1,8,",  San Marco, Villanueva"
USD 279.000,817m²,186m²,5,3,,3,1,A estrenar,",  San Gabriel, Villanueva"
USD 310.000,200m²,200m²,,2,1,3,,,",  La Delfina, Pilar"
USD 450.000,269m²,200m²,5,3,1,4,,10,",  Florida, Vicente López"
USD 149.000,330m²,140m²,5,3,,4,1,25,",  Colina de Peralta Ramos, Mar del Plata"
USD 1.600.000,489m²,480m²,,4,,4,,,",  El Golf, Nordelta"
USD 550.000,346m²,312m²,8,3,,3,1,12,",  Ayres del Pilar, Pilar"
USD 240.000,,240m²,4,2,,3,,45,",  Córdoba, Córdoba"
USD 365.000,650m²,352m²,6,4,,4,1,30,",  San Carlos, Mar del Plata"
USD 160.000,195m²,131m²,4,,1,2,1,60,",  La Florida, Rosario"
USD 235.000,102m²,135m²,,4,1,3,,3,",  Rincón de Milberg, Tigre"
USD 1.250.000,1100m²,450m²,,6,1,4,,7,",  La Isla, Nordelta"
USD 220.000,840m²,180m²,,3,,3,,,",  Norte, El Cantón"
USD 198.000,212m²,100m²,3,,,2,,,",  San Isidro, GBA Norte"
USD 365.000,636m²,216m²,,2,,3,,2,",  Puertos, Escobar"
Consultar precio,810m²,310m²,11,4,,3,,5,",  La Rufina, La Calera"
USD 470.000,283m²,274m²,6,2,1,4,,40,",  Olivos, Vicente López"
USD 295.000,135m²,135m²,4,3,1,2,1,A estrenar,",  Olivos, Vicente López"
USD 670.000,465m²,378m²,4,4,,3,,20,",  Centro, Rosario"
USD 990.000,1233m²,420m²,,6,,4,,,",  El Golf, Nordelta"
USD 475.000,649m²,195m²,,3,,3,,,",  Santa Bárbara, Tigre"
USD 59.000,199m²,117m²,3,,1,2,,23,",  Rosario, Santa Fe"
USD 490.000,300m²,230m²,5,2,,4,,A estrenar,",  Las Golondrinas, Berazategui"
USD 275.000,989m²,168m²,4,2,,3,1,A estrenar,",  San Matías, Escobar"
USD 415.000,259m²,210m²,5,3,1,3,,25,",  Villa Pueyrredón, Capital Federal"
USD 250.000,22593m²,130m²,6,2,1,2,,5,",  Potrero de Garay, Córdoba"
USD 120.000,1200m²,150m²,7,2,1,3,,A estrenar,",  Otros, Unquillo"
USD 350.000,748m²,200m²,4,4,1,3,,A estrenar,",  Pinamar, Buenos Aires Costa Atlántica"
USD 238.000,100m²,100m²,4,2,1,2,,25,",  El Talar de Martínez, San Isidro"
USD 339.000,740m²,180m²,5,2,,3,1,6,",  San Isidro Labrador, Villanueva"
USD 180.000,332m²,232m²,4,,1,3,,60,
USD 390.000,195m²,165m²,,3,,3,,,",  Castaños, Nordelta"
USD 280.000,790m²,200m²,4,3,,3,1,A estrenar,",  Esteban Echeverría, GBA Sur"
USD 2.000.000,600m²,600m²,10,5,,4,1,9,",  Los Castores, Nordelta"
USD 235.000,180m²,180m²,,3,,3,,3,",  Sausalito, Pilar"
USD 310.000,145m²,145m²,6,2,1,4,1,25,",  Florida, Vicente López"
USD 380.000,356m²,240m²,4,3,,3,,60,",  Acassuso, San Isidro"
USD 190.000,175m²,168m²,5,2,1,3,1,A estrenar,",  Santa Guadalupe, Pilar del Este"
USD 550.000,812m²,220m²,,4,,3,,3,",  Talar del Lago II, El Talar de Pacheco"
USD 590.000,800m²,315m²,0,0,,0,,A estrenar,",  Las Liebres, Pilar"
USD 199.000,190m²,160m²,0,3,1,3,,A estrenar,",  Los Jazmines, Pilar del Este"
USD 440.000,265m²,178m²,3,,1,2,1,50,",  Acassuso, San Isidro"
USD 175.000,103m²,71m²,3,,1,2,1,A estrenar,",  El Talar, Tigre"
USD 398.000,289m²,245m²,5,2,1,4,,50,",  San Isidro, San Isidro"
USD 310.000,965m²,175m²,4,0,,3,,1,
USD 760.000,440m²,290m²,5,4,1,4,,30,",  Nuñez, Capital Federal"
USD 499.900,320m²,260m²,8,3,,4,1,30,",  Vicente López, Vicente López"
USD 920.000,335m²,290m²,5,4,,3,1,4,",  Nuñez, Capital Federal"
USD 480.000,750m²,350m²,5,4,1,4,,3,",  San Isidro Labrador, Villanueva"
USD 270.000,1000m²,300m²,5,4,,4,,15,",  Sausalito, Pilar"
USD 450.000,280m²,280m²,4,4,,3,1,2,",  Fincas de Hudson, Berazategui"
USD 487.000,319m²,250m²,6,2,1,3,1,A estrenar,",  Beccar, San Isidro"
USD 443.000,948m²,,0,2,1,3,1,A estrenar,",  San Gabriel, Villanueva"
USD 200.000,555m²,395m²,15,6,,7,,60,",  Villa Cabrera, Córdoba"
USD 620.000,476m²,210m²,,3,1,4,,,",  Acassuso, San Isidro"
USD 435.000,300m²,250m²,6,3,,4,,10,",  Punta Chica, San Fernando"
USD 1.420.000,435m²,395m²,,5,,4,,,",  Santa Bárbara, Tigre"
USD 420.000,254m²,220m²,,4,,3,,,",  Ayres del Pilar, Pilar"
USD 550.000,245m²,200m²,4,3,1,3,1,,",  Mataderos, Capital Federal"
USD 990.000,475m²,400m²,4,5,,3,1,100,",  Palermo Soho, Palermo"
USD 265.000,165m²,106m²,4,2,1,3,1,25,",  Parque Patricios, Capital Federal"
USD 150.000,836m²,187m²,7,2,1,4,,60,",  Santa Lucía, Corrientes "
USD 550.000,422m²,395m²,,4,,5,,5,",  Estancias del Pilar, Pilar"
USD 298.000,150m²,150m²,4,2,,3,1,25,",  Villa Devoto, Capital Federal"
USD 388.000,200m²,110m²,4,2,1,2,1,A estrenar,",  Martínez, San Isidro"
USD 980.000,350m²,300m²,,4,1,4,,,",  El Talar de Pacheco, Tigre"
USD 265.000,,180m²,0,2,1,2,,3,",  Rosario, Santa Fe"
USD 760.000,,390m²,,5,,4,,,",  Santa Catalina, Villanueva"
USD 189.000,,160m²,0,2,,3,,A estrenar,",  Santa Guadalupe, Pilar del Este"
Consultar precio,406m²,406m²,9,3,,4,1,8,",  Rosario, Santa Fe"
USD 105.000,137m²,80m²,4,,,2,,20,",  Rosario, Santa Fe"
USD 145.000,836m²,144m²,4,2,1,3,,100,",  Santa Lucía, Corrientes "
USD 270.000,250m²,80m²,,,,2,,,",  Beccar, San Isidro"
USD 215.000,94m²,94m²,4,,1,3,1,5,",  Olivos, Vicente López"
USD 310.000,100m²,180m²,,2,1,4,,60,",  Vicente López, Vicente López"
USD 46.000,250m²,115m²,3,2,,2,,15,",  Pilar, Pilar"
USD 518.000,693m²,250m²,5,2,,3,1,A estrenar,",  Villa Ballester, General San Martín"
USD 730.000,343m²,343m²,5,4,,4,1,A estrenar,",  Las Liebres, Pilar"
USD 350.000,451m²,170m²,6,2,,3,,A estrenar,",  San Isidro, GBA Norte"
USD 399.000,175m²,120m²,4,2,1,3,,A estrenar,",  Nuñez, Capital Federal"
USD 298.000,236m²,89m²,,,,2,,,",  San Isidro, San Isidro"
USD 65.000,100m²,72m²,3,,1,2,,,
USD 520.000,418m²,240m²,5,3,,4,,30,",  Villa del Parque, Capital Federal"
USD 410.000,800m²,300m²,5,3,,4,1,14,",  Valle Claro, Benavidez"
USD 465.000,200m²,150m²,5,3,1,3,,10,",  Nuñez, Capital Federal"
USD 590.000,750m²,327m²,,3,,4,,2,",  San Isidro Labrador, Villanueva"
USD 198.000,122m²,86m²,4,2,1,2,,9,",  María del Parque, Ituzaingó"
USD 65.000,251m²,186m²,4,2,1,3,,1,",  Salta, Salta "
USD 249.000,1007m²,226m²,4,3,,3,1,A estrenar,",  San Matías, Escobar"
USD 550.000,800m²,264m²,4,4,,3,,En construcción,",  Funes, Santa Fe"
USD 430.000,400m²,233m²,5,5,,4,,,",  Complejo Pasionaria Martinez, Martínez"
USD 145.000,115m²,90m²,4,2,1,3,1,A estrenar,",  Lomas de Zamora, Lomas de Zamora"
USD 540.000,240m²,160m²,5,2,1,4,1,50,",  Nuñez, Capital Federal"
USD 330.000,250m²,190m²,,4,,4,,,",  El Cantón, Escobar"
USD 469.000,317m²,227m²,6,3,,4,1,40,",  Caballito, Capital Federal"
USD 1.050.000,1103m²,360m²,5,3,,4,1,En construcción,",  Albanueva, Rincón de Milberg"
USD 230.000,299m²,,,,1,0,,,",  Boulogne Sur Mer, San Isidro"
USD 370.000,994m²,,6,3,,5,1,25,",  Fisherton, Rosario"
USD 695.000,459m²,368m²,7,4,,4,1,12,",  Acassuso, San Isidro"
USD 150.000,180m²,130m²,4,2,1,3,,A estrenar,",  Claros Village, Córdoba"
USD 295.000,213m²,213m²,4,,,2,,50,",  Olivos, Vicente López"
USD 175.000,170m²,80m²,3,,1,2,,,",  Ciudad Jardín Lomas del Palomar, Tres de Febrero"
USD 640.000,278m²,235m²,,4,,3,,,",  Los Sauces, Nordelta"
USD 360.000,188m²,140m²,0,,,3,1,40,",  Nuñez, Capital Federal"
USD 595.000,1290m²,300m²,5,4,,3,1,3,",  Santa Catalina, Villanueva"
$ 120.000,250m²,,4,2,1,3,,55,",  City Bell, La Plata"
USD 365.000,185m²,185m²,4,3,1,3,1,2,",  Fincas de Hudson, Berazategui"
USD 228.000,147m²,,6,0,1,2,1,2,",  Roldán, Santa Fe"
USD 590.000,,,6,,1,5,1,35,",  Belgrano, Capital Federal"
USD 430.000,220m²,200m²,5,3,,3,1,30,",  La Horqueta, San Isidro"
Consultar precio,158m²,99m²,6,,1,5,,30,",  El Palomar, Morón"
USD 1.800.000,2302m²,540m²,12,5,,6,,65,",  Lomas de San Isidro, San Isidro"
USD 285.000,690m²,224m²,5,3,1,4,1,En construcción,",  Principado Ciudad Náutica, San Vicente"
USD 140.000,253m²,221m²,4,3,,3,,20,",  Don Bosco, Córdoba"
USD 825.000,1969m²,523m²,,4,,5,,6,",  Ibarlucea, Santa Fe"
USD 225.000,173m²,153m²,4,2,1,3,,1,
USD 960.000,900m²,325m²,,3,,4,,,",  Santa Bárbara, Tigre"
USD 297.000,554m²,174m²,,2,,3,,2,",  Puertos, Escobar"
USD 220.000,868m²,210m²,5,4,,3,1,A estrenar,",  San Matías, Escobar"
USD 580.000,280m²,235m²,5,4,,4,,,",  Los Lagos, Nordelta"
USD 239.000,400m²,168m²,5,4,1,3,1,A estrenar,",  Los Robles, La Cañada de Pilar"
USD 730.000,1458m²,299m²,,4,,3,,16,",  Mayling, Pilar"
USD 498.000,788m²,269m²,,4,,5,,,",  Santa Clara, Villanueva"
USD 1.890.000,546m²,400m²,7,5,,4,,5,",  Belgrano, Capital Federal"
USD 190.000,130m²,130m²,4,2,1,3,,35,",  La Florida, Rosario"
USD 100.000,210m²,80m²,3,,,0,,En construcción,",  Morón, GBA Oeste"
USD 620.000,270m²,200m²,,3,1,4,,,",  Colegiales, Capital Federal"
USD 370.000,1000m²,200m²,4,2,1,3,1,A estrenar,",  Highland Park, Pilar"
USD 370.000,,240m²,0,4,,4,,A estrenar,",  Haras del Pilar, Pilar"
USD 450.000,948m²,296m²,5,0,,3,,A estrenar,",  Canning, Ezeiza"
USD 220.000,198m²,140m²,4,2,1,3,,,
USD 111,300m²,160m²,6,0,,3,,5,",  Río Manso, Resistencia"
USD 590.000,255m²,230m²,5,2,1,4,1,40,",  Caballito, Capital Federal"
USD 350.000,564m²,272m²,6,2,,4,,50,",  Olivos, Vicente López"
USD 1.600.000,799m²,433m²,6,3,,3,1,15,",  San Isidro Chico, San Isidro"
USD 189.000,180m²,140m²,4,3,1,3,,A estrenar,",  Claros Village, Córdoba"
USD 230.000,126m²,126m²,,3,,4,,53,",  Centro, Rosario"
USD 245.000,300m²,185m²,0,3,,3,1,A estrenar,",  La Cuesta, La Calera"
USD 210.000,899m²,167m²,4,2,,3,1,A estrenar,",  El Cantón, Escobar"
USD 145.000,,120m²,3,2,1,2,,A estrenar,",  Jardines del Olmo, Córdoba"
Consultar precio,929m²,488m²,9,3,,4,1,9,",  Alberdi, Rosario"
USD 115.000,115m²,84m²,3,,1,2,1,15,",  Ezpeleta, Quilmes"
USD 255.000,210m²,200m²,,3,1,3,,,",  La Angelica, Pilar"
USD 290.000,133m²,133m²,4,2,,3,,70,",  Paternal, Capital Federal"
USD 270.000,243m²,127m²,5,3,,6,,60,",  Belgrano, Capital Federal"
Consultar precio,2250m²,335m²,6,3,,3,,3,",  San Diego, Moreno"
USD 1.580.000,1336m²,650m²,8,4,,5,1,A estrenar,",  El Golf, Nordelta"
USD 240.000,,1m²,4,,1,3,,20,",  Ramos Mejía, La Matanza"
USD 1.050.000,900m²,385m²,7,5,,4,1,A estrenar,",  Lagos del Golf, Nordelta"
USD 290.000,200m²,200m²,5,2,1,3,1,1,",  Las Rosas, Córdoba"
USD 469.000,243m²,222m²,,3,1,3,,14,",  Las Glorietas, Nordelta"
USD 265.000,165m²,106m²,4,2,1,3,1,25,",  Parque Patricios, Capital Federal"
USD 490.000,460m²,380m²,8,2,,6,,41,",  Villa Urquiza, Capital Federal"
USD 135.000,308m²,160m²,4,2,,3,1,57,",  Caseros, Tres de Febrero"
USD 235.000,1ha,250ha,4,2,,3,,A estrenar,",  Coronel Brandsen, Brandsen"
USD 330.000,786m²,340m²,3,4,1,3,,18,",  Argüello, Córdoba"
USD 490.000,350m²,300m²,4,3,,3,1,34,",  Villa del Parque, Capital Federal"
USD 245.000,182m²,134m²,,2,1,3,,,",  Roldán, Santa Fe"
USD 158.000,103m²,,3,,1,2,,39,",  Olivos, Vicente López"
USD 450.000,1000m²,222m²,4,4,,3,,8,",  Funes, Santa Fe"
USD 400.000,388m²,203m²,6,2,,3,1,40,",  Alberdi, Rosario"
USD 260.000,700m²,245m²,4,3,,3,1,A estrenar,",  San Alfonso, Pilar del Este"
USD 75.000,220m²,140m²,6,2,,4,,11,",  Córdoba, Córdoba"
USD 80.000,72m²,71m²,,,1,3,,,",  Zárate, Zárate"
USD 280.000,1050m²,250m²,5,3,,4,1,27,",  Los Lagartos Country Club, Pilar"
USD 160.000,119m²,119m²,0,,,2,1,30,",  Echesortu, Rosario"
USD 670.000,325m²,290m²,7,3,,4,1,40,",  El Talar de Martínez, San Isidro"
USD 119.000,180m²,100m²,4,3,1,2,,A estrenar,",  Docta, Córdoba"
USD 445.000,780m²,300m²,5,3,,4,1,A estrenar,",  Los Tacos, Pilar"
USD 455.000,175m²,175m²,5,3,1,3,1,A estrenar,",  Olivos, Vicente López"
USD 160.000,,234m²,6,,1,4,,10,",  La Florida, Rosario"
USD 290.000,420m²,243m²,6,2,,3,,17,",  Arroyito, Rosario"
USD 90.000,200m²,91m²,4,,1,2,1,7,",  Villa Allende, Córdoba"
USD 77.000,250m²,54m²,10,2,,3,,25,",  Marqués de Sobremonte, Córdoba"
USD 670.000,936m²,243m²,,4,1,3,,12,",  Talar del Lago I, El Talar de Pacheco"
USD 230.000,300m²,220m²,4,2,,3,1,14,",  URCA, Córdoba"
USD 365.000,,192m²,4,2,,3,1,A estrenar,",  Ayres Plaza, Pilar"
USD 300.000,230m²,230m²,4,2,1,3,1,35,",  La Plata, La Plata"
USD 393.000,732m²,215m²,4,3,,3,1,A estrenar,",  Ceibos, Puertos"
USD 650.000,1500m²,400m²,6,4,1,3,,A estrenar,",  Cañuelas Country Golf, Córdoba"
USD 75.000,117m²,65m²,4,,1,2,,35,",  Argüello, Córdoba"
USD 298.000,1250m²,169m²,4,2,1,2,,10,",  Maschwitz, Escobar"
USD 880.000,974m²,328m²,,5,,5,,,",  La Lomada, Pilar"
Consultar precio,1027m²,370m²,9,3,,3,1,20,",  Alberdi, Rosario"
Consultar precio,750m²,335m²,8,3,,4,1,40,",  La Florida, Rosario"
USD 350.000,160m²,160m²,5,2,1,4,1,40,",  Florida, Vicente López"
USD 450.000,,330m²,0,3,,4,,A estrenar,",  La Lomada, Pilar"
USD 275.000,365m²,184m²,4,4,,3,1,A estrenar,",  Pilar, GBA Norte"
USD 130.000,277m²,150m²,4,2,,3,,30,",  Tigre, GBA Norte"
USD 2.800.000,629m²,629m²,,4,,4,,32,",  Belgrano, Capital Federal"
Consultar precio,,710m²,0,0,,0,,50,",  Flores, Capital Federal"
USD 850.000,,427m²,,4,1,4,,90,",  Vicente López, Vicente López"
Consultar precio,950m²,166m²,,2,,3,,15,",  Roldán, Santa Fe"
USD 106.000,550m²,138m²,4,2,,3,1,A estrenar,",  San Eduardo, Pilar del Este"
USD 1.100.000,1005m²,375m²,,3,,4,,,",  Los Castores, Nordelta"
USD 295.000,200m²,180m²,5,2,,3,1,A estrenar,",  La Casualidad, Pilar"
USD 320.000,216m²,100m²,3,,,2,,50,",  Olivos, Vicente López"
USD 155.000,,83m²,,,,2,,5,",  Robles del Monarca, Pilar"
USD 1.350.000,,450m²,6,3,,4,1,40,",  Belgrano, Capital Federal"
USD 120.000,520m²,100m²,4,,1,3,,1,",  Roldán, Santa Fe"
USD 182.000,850m²,1m²,0,0,,0,,A estrenar,",  Lagos del Norte, Don Torcuato"
USD 44.000,304m²,170m²,4,,1,3,,20,",  Santa María, Córdoba"
USD 105.000,80m²,65m²,3,2,1,2,,En construcción,",  Villa Allende, Córdoba"
USD 285.000,220m²,140m²,,2,1,2,,,",  Fincas de San Vicente, San Vicente"
USD 570.000,624m²,260m²,5,2,,3,1,A estrenar,",  Ayres Plaza, Pilar"
USD 210.000,150m²,150m²,6,2,,3,,35,",  La Plata, La Plata"
USD 750.000,1346m²,403m²,,3,,5,,,",  Santa María de Tigre, Rincón de Milberg"
USD 340.000,240m²,140m²,5,3,1,4,,60,",  Caballito, Capital Federal"
USD 480.000,987m²,229m²,4,3,,3,1,1,",  Muelles, Puertos"
USD 340.000,960m²,326m²,6,4,1,4,1,A estrenar,",  El Molino Norte, Haras Santa María"
USD 930.000,490m²,360m²,,2,1,5,,20,",  Palermo, Capital Federal"
USD 238.000,219m²,156m²,4,3,,3,,,",  Haras Santa María, Escobar"
USD 415.000,247m²,140m²,5,3,1,4,1,20,",  Saavedra, Capital Federal"
USD 160.000,613m²,110m²,4,2,,2,,13,",  Villa Elisa, La Plata"
USD 300.000,856m²,210m²,4,2,,3,,20,",  Chascomús, Buenos Aires (fuera de GBA)"
USD 590.000,278m²,257m²,,4,,4,,16,",  Las Glorietas, Nordelta"
USD 280.000,220m²,130m²,5,,1,3,1,50,",  Adrogué, Almirante Brown"
USD 450.000,800m²,290m²,6,2,,3,1,6,",  Villa Olivos, Escobar"
USD 465.000,220m²,220m²,,5,,3,,,",  Castaños, Nordelta"
USD 140.000,130m²,66m²,3,,,2,,A estrenar,",  Echesortu, Rosario"
USD 155.000,400m²,152m²,6,2,,3,,20,",  Rosario, Santa Fe"
USD 670.000,690m²,394m²,5,4,,3,1,3,",  Ayres Plaza, Pilar"
USD 346.000,215m²,215m²,6,2,,4,1,40,",  Olivos, Vicente López"
USD 110.000,80m²,80m²,3,2,,2,,35,",  Chauvín, Mar del Plata"
USD 2.500.000,2310m²,450m²,7,3,,4,1,38,",  San Isidro, GBA Norte"
Consultar precio,300m²,300m²,17,,,0,,50,",  La Plata, La Plata"
USD 115.000,550m²,126m²,4,,,3,1,A estrenar,",  San Alfonso, Pilar del Este"
USD 489.000,955m²,262m²,7,3,,4,,14,",  Santa Catalina, Villanueva"
USD 298.000,259m²,,6,2,,4,,40,",  Villa Adelina, Vicente López"
USD 225.000,760m²,177m²,5,3,,3,1,8,",  El Molino, Pilar"
USD 690.000,400m²,390m²,,5,,4,,70,",  Martínez, San Isidro"
USD 920.000,1500m²,470m²,8,5,,6,1,20,",  San Diego, Moreno"
USD 475.000,578m²,224m²,,2,,3,,,",  Los Sauces, Nordelta"
USD 82.500,163m²,89m²,,2,,3,,2,",  La Cañada de Pilar, Pilar"
USD 160.000,900m²,50m²,0,0,,,,10,",  Villa Ciudad de América, Córdoba"
USD 420.000,200m²,200m²,4,0,,2,,40,",  Nuñez, Capital Federal"
USD 550.000,250m²,,4,,,3,,,",  Los Alisos, Nordelta"
